rank,title,url,artists,thumbnail,release_date,last_week_position,weeks_on_chart,weekly_views
28,MONTAGEM RUGADA,https://www.youtube.com/watch?v=Hd5nXTyaXZg,"cape, JXNDRO, Sayfalse",https://i.ytimg.com/vi/Hd5nXTyaXZg/default.jpg,"Aug 26, 2025",23,5,"12,732,870"
29,Free,https://www.youtube.com/watch?v=fjOeJssZX_Q,"Rumi, Jinu, EJAE, Andrew Choi, KPop Demon Hunters Cast",https://lh3.googleusercontent.com/ogvvJ4j4vEP1XxsfAJ1wZs-O7dRUe_9Ek_8ui-A9QZ59WaNhB4DPaND_SCsa3uYb6Wq3N69w8mJOF7oE=w180-h180-l90-rj,"Jun 19, 2025",26,19,"12,503,542"
30,Jhol,https://www.youtube.com/watch?v=-2RAq5o5pwc,"Maanu, Annural Khalid",https://lh3.googleusercontent.com/GP9v2CnfMkE8wF3zy1An4FECREeFYy-6Y4iS2OwvISYnOTF09e6sSfD5XYuUjgaiczGvliqbycu3Yp27=w180-h180-l90-rj,"Jun 14, 2024",37,39,"12,400,707"
31,What It Sounds Like,https://www.youtube.com/watch?v=TbMEMCvFbZk,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",https://lh3.googleusercontent.com/ogvvJ4j4vEP1XxsfAJ1wZs-O7dRUe_9Ek_8ui-A9QZ59WaNhB4DPaND_SCsa3uYb6Wq3N69w8mJOF7oE=w180-h180-l90-rj,"Jul 11, 2025",27,17,"12,281,008"
32,"Takedown (feat. Jeongyeon, JIHYO & CHAEYOUNG)",https://www.youtube.com/watch?v=l8Dr7vzMSVE,TWICE,https://i.ytimg.com/vi/l8Dr7vzMSVE/default.jpg,"Jun 23, 2025",31,19,"12,258,511"
33,Marlboro Rojo,https://www.youtube.com/watch?v=ddkbVYutRXA,Fuerza Regida,https://lh3.googleusercontent.com/wcctzBOL_SevQ9q9eq-J1V1fnQluovKWND7x5U3aYJLijtTeBXOIMICPrMnHQGL6FmOzasTAv6DsT79V=w180-h180-l90-rj,"May 2, 2025",30,25,"12,158,818"
34,Seni Düşündüm,https://www.youtube.com/watch?v=3OGl69sY9Ys,"Çağla, Doğu Swag",https://lh3.googleusercontent.com/nVx5EpEAccZfwnoKATg0UH68OLDyZ23c70lsnSMqha1CfY9xwtX8u2JEVGleFXBqo7NQ7tpC4maI77XK=w180-h180-l90-rj,"Jul 24, 2025",32,13,"12,143,205"
35,Mann Mera,https://www.youtube.com/watch?v=1onhvVnL8B8,Gajendra Verma,https://lh3.googleusercontent.com/TgXLMPYMlJJza87p1HQF82KftK4Y7xjVdaLwqUJ8ME6ZGFTdQQNqsqLDO9f1L3_I3Yvao7wXFjbzVfkD=w180-h180-l90-rj,"Apr 1, 2013",48,10,"12,024,005"
36,RANU BOMBAI KI RANU,https://www.youtube.com/watch?v=2voCBpYfFI4,"Ramu Rathod, Singer Prabha, Kalyan Keys",https://lh3.googleusercontent.com/2uaAD1cHRojvcyT0zPQWDKK4Y0yL2gJgo2ieML3m5FkPLNCPRWAjr5Av1swdQ8qURL3OAsE4jbuWMvnM=w180-h180-l90-rj,"Jan 22, 2025",34,40,"11,782,473"
37,PASSO BEM SOLTO (Slowed),https://www.youtube.com/watch?v=NT4eF9YsYnM,ATLXS,https://i.ytimg.com/vi/NT4eF9YsYnM/default.jpg,"Apr 23, 2024",35,33,"11,529,886"
38,Frecuencia,https://www.youtube.com/watch?v=ebXEaHEYYng,Los Dareyes De La Sierra,https://lh3.googleusercontent.com/6yo7bduDl8ZkSpJqvHjR4-0pfTzwPyQFOAKBD9GojCZvQ090w2j_cYgeE_OXAdU5GeWLaV6C2kKaOCqs=w180-h180-l90-rj,"Jun 5, 2025",38,19,"11,524,561"
39,Jhoom Sharaabi,https://www.youtube.com/watch?v=-v3a9CffY28,"Yo Yo Honey Singh, Athar Hayat",https://lh3.googleusercontent.com/p_wDHjE7XgRM2kB4MgooaxpJylDEAAbHWpGuTbi5e1B9R6h009brfocLqeHT5QXib12RFW1WlKGIf2o=w180-h180-l90-rj,"Oct 29, 2025",-,1,"11,452,526"
40,YOGURCITO (Remix) (feat. ROA & Yan Block),https://www.youtube.com/watch?v=CHXzLUzzW5c,"Blessd, Anuel AA, Kris R., Luar La L",https://lh3.googleusercontent.com/uCcxVmklksFgHeXjBHat51z0J9nZ8_LUtvjAK7dUvZcd6emZGYRu0s6Xv7eFatN-yw4Rq0ENWF8v6t4=w180-h180-l90-rj,"May 16, 2024",46,10,"11,380,686"
41,En Privado,https://www.youtube.com/watch?v=kE1-O0tU-UU,"Xavi, Manuel Turizo",https://lh3.googleusercontent.com/myLU1dWKKL8xPu1N-pdM1lNChUAxzpWHhaApJY-eTCKwOwLZJ3lVXghue8cXfv3zSWoreGdmivYgpiU=w180-h180-l90-rj,"Feb 6, 2025",39,37,"11,297,790"
42,Çıkmaz Bir Sokakta,https://www.youtube.com/watch?v=cLygvXtuklI,Semicenk,https://lh3.googleusercontent.com/VThyigASP0bk9Ge0zI82u6Xz4IDuzva3XhasxemNsRZ77XA-u91-ScuGe1CK-OnzHinUFMexIMUXfRmd=w180-h180-l90-rj,"Oct 23, 2025",43,2,"11,250,599"
43,Iris,https://www.youtube.com/watch?v=NdYWuo9OFAw,The Goo Goo Dolls,https://lh3.googleusercontent.com/uTzba0Dgl5G4ZjeNx8aYEFDii37F5Gs2yKWdLi89RJm3ngG1nRg-VyYu0P0OTM5HN94DEbuHDJMqHDkvaA=w180-h180-l90-rj,"Mar 31, 1998",-,23,"11,243,857"
44,MONTAGEM XONADA,https://www.youtube.com/watch?v=sC2b43vxJbQ,"MXZI, Dj Samir, DJ Javi26",https://lh3.googleusercontent.com/Q5UwGoyybGCmgsNQuhhUw6WR317kL5oONkCWRn-Cyyv6Ou3ugDlTZ8JUGQ7kGJ5CC6Ep6aXtvr_Ra-qg=w180-h180-l90-rj,"Jul 2, 2025",33,13,"11,153,788"
